"","w1","w2","w3","N"
"451","sstart","sstart","eh",3
"452","sstart","eh","ccomma",3
"453","did","you","do",3
"454","night","pperiod","eend",3
"455","gone","pperiod","eend",3
"456","i","thought","you",3
"457","to","do","is",3
"458","going","down","eexclamation",3
"459","sstart","sstart","momo",3
"460","sstart","momo","ccomma",3
"461","sstart","sstart","your",3
"462","got","to","get",3
"463","sstart","we","don't",3
"464","don't","have","much",3
"465","have","much","time",3
"466","on","ccomma","we",3
"467","what","are","we",3
"468","with","him","qquestion",3
"469","pperiod","we're","gonna",3
"470","back","ccomma","i'm",3
"471","try","pperiod","eend",3
"472","what","qquestion","i'm",3
"473","a","hundred","years",3
"474","hundred","years","ago",3
"475","to","talk","to",3
"476","sstart","this","isn't",3
"477","sstart","what","happened",3
"478","sstart","sstart","like",3
"479","what","qquestion","we",3
"480","what","is","it",3
"481","is","it","qquestion",3
"482","to","tell","you",3
"483","sstart","sstart","at",3
"484","fast","eexclamation","eend",3
"485","sstart","can't","you",3
"486","sstart","we","got",3
"487","i","don't","see",3
"488","pperiod","i","think",3
"489","in","pperiod","eend",3
"490","supposed","to","do",3
"491","sstart","okay","pperiod",3
"492","okay","pperiod","eend",3
"493","river","eexclamation","eend",3
"494","i'm","sorry","ccomma",3
"495","ccomma","but","you",3
"496","qquestion","i","don't",3
"497","pperiod","it's","just",3
"498","a","matter","of",3
"499","pperiod","you","guys",3
"500","there","qquestion","eend",3
"501","we","need","a",3
"502","tribe","pperiod","eend",3
"503","out","eexclamation","eend",3
"504","qquestion","this","is",3
"505","no","time","for",3
"506","sstart","is","that",3
"507","sstart","sstart","these",3
"508","moving","pperiod","eend",3
"509","sstart","ah","ddash",3
"510","my","instincts","tell",3
"511","instincts","tell","me",3
"512","her","pperiod","eend",3
"513","gran","ddash","gran",3
"514","sstart","ha","ha",3
"515","too","pperiod","but",3
"516","pperiod","but","the",3
"517","ddash","ddash","ddash",3
"518","off","eexclamation","eend",3
"519","things","pperiod","eend",3
"520","ccomma","but","we",3
"521","how","can","you",3
"522","in","time","pperiod",3
"523","for","nothing","pperiod",3
"524","not","going","to",3
"525","enough","pperiod","eend",3
"526","a","good","idea",3
"527","sstart","sstart","finally",3
"528","sstart","what","eexclamation",3
"529","sstart","you","guys",3
"530","go","to","the",3
"531","what","qquestion","you",3
"532","future","pperiod","eend",3
"533","day","pperiod","eend",3
"534","here","in","the",3
"535","would","be","nice",3
"536","not","bad","pperiod",3
"537","know","eexclamation","eend",3
"538","pperiod","if","you",3
"539","sstart","wow","ccomma",3
"540","don't","tell","me",3
"541","sstart","sstart","those",3
"542","well","ccomma","we",3
"543","problem","pperiod","eend",3
"544","hate","you","pperiod",3
"545","don't","know","pperiod",3
"546","ccomma","but","it's",3
"547","sstart","sstart","where's",3
"548","sstart","sstart","everything's",3
"549","we","can","make",3
"550","need","to","go",3
"551","i","want","to",3
"552","it","is","pperiod",3
"553","bad","pperiod","eend",3
"554","no","ccomma","we",3
"555","don't","want","to",3
"556","want","to","make",3
"557","sstart","i","told",3
"558","i","told","you",3
"559","my","sister","eexclamation",3
"560","you","want","me",3
"561","want","me","to",3
"562","us","eexclamation","eend",3
"563","i","can't","see",3
"564","sstart","why","would",3
"565","why","would","you",3
"566","where","the","gas",3
"567","pperiod","you","could",3
"568","sstart","it's","the",3
"569","up","here","pperiod",3
"570","sstart","hi","ccomma",3
"571","sstart","sstart","princess",3
"572","hey","ccomma","how",3
"573","ccomma","how","about",3
"574","knows","how","to",3
"575","sstart","that's","okay",3
"576","fight","eexclamation","eend",3
"577","i","just","want",3
"578","know","ccomma","i",3
"579","no","ccomma","no",3
"580","okay","qquestion","eend",3
"581","sstart","what's","wrong",3
"582","sstart","sstart","appa",3
"583","eexclamation","no","eexclamation",3
"584","oh","no","pperiod",3
"585","sstart","sstart","i've",3
"586","mean","qquestion","eend",3
"587","hard","pperiod","eend",3
"588","zuko","qquestion","eend",3
"589","we","can","pperiod",3
"590","pperiod","let's","go",3
"591","let's","go","pperiod",3
"592","the","avatar","state",3
"593","why","not","qquestion",3
"594","out","the","fire",3
"595","sstart","sstart","or",3
"596","sstart","maybe","i",3
"597","sstart","i","can",3
"598","pperiod","then","we",3
"599","we","should","be",3
"600","sstart","how","did",3
"601","sstart","now","that's",3
"602","sstart","sstart","way",3
"603","sstart","there's","no",3
"604","we'll","have","to",3
"605","no","ccomma","i",3
"606","eexclamation","katara","eexclamation",3
"607","huh","qquestion","eend",3
"608","i","thought","i",3
"609","pperiod","just","a",3
"610","need","to","be",3
"611","oh","ccomma","i",3
"612","sstart","oh","pperiod",3
"613","oh","pperiod","eend",3
"614","pperiod","but","i'm",3
"615","i'm","not","sure",3
"616","pperiod","and","we",3
"617","you're","right","pperiod",3
"618","island","pperiod","eend",3
"619","today","qquestion","eend",3
"620","you","can","do",3
"621","do","it","ccomma",3
"622","i","do","ccomma",3
"623","eexclamation","oh","ccomma",3
"624","i","guess","that's",3
"625","eexclamation","whoo","eexclamation",3
"626","sstart","sstart","boo",3
"627","sstart","yeah","eexclamation",3
