"","w1","w2","w3","N"
"460","out","of","the",4
"461","sstart","sstart","everyone",4
"462","okay","pperiod","eend",4
"463","i","think","it's",4
"464","sstart","maybe","we",4
"465","away","pperiod","eend",4
"466","sstart","i","just",4
"467","going","on","qquestion",4
"468","on","qquestion","eend",4
"469","do","you","mean",4
"470","you","mean","qquestion",4
"471","do","pperiod","eend",4
"472","help","pperiod","eend",4
"473","them","pperiod","eend",4
"474","i","think","you",4
"475","who","are","you",4
"476","are","you","qquestion",4
"477","i","guess","pperiod",4
"478","i","want","to",4
"479","sstart","sstart","she",4
"480","on","pperiod","eend",4
"481","not","pperiod","eend",4
"482","i","know","what",4
"483","for","you","pperiod",4
"484","sstart","how","did",4
"485","how","did","you",4
"486","you","know","qquestion",4
"487","ccomma","momo","pperiod",4
"488","be","a","great",4
"489","ccomma","look","at",4
"490","thanks","for","the",4
"491","like","pperiod","eend",4
"492","one","pperiod","eend",4
"493","sstart","sstart","we've",4
"494","is","eexclamation","eend",4
"495","don't","have","to",4
"496","pperiod","i","can",4
"497","can't","do","it",4
"498","it","pperiod","i",4
"499","kid","pperiod","eend",4
"500","sstart","sstart","or",4
"501","sstart","you're","right",4
"502","but","i","just",4
"503","to","find","the",4
"504","eexclamation","i","need",4
"505","sstart","momo","eexclamation",4
"506","sstart","we","need",4
"507","in","trouble","eexclamation",4
"508","is","in","trouble",4
"509","in","the","avatar",4
"510","avatar","state","ccomma",4
"511","fight","the","fire",4
"512","pperiod","it's","a",4
"513","why","didn't","you",4
"514","i","guess","i",4
"515","ccomma","i","ppause",4
"516","eexclamation","appa","eexclamation",4
"517","the","whole","world",4
"518","toph","pperiod","eend",4
"519","sstart","sstart","your",4
"520","sstart","um","ccomma",4
"521","where","are","we",4
"522","you're","right","pperiod",4
"523","to","do","it",4
"524","hotman","pperiod","hotman",4
"525","pperiod","hotman","pperiod",4
"526","do","that","pperiod",4
"527","sstart","what's","going",3
"528","not","sure","pperiod",3
"529","wake","up","ccomma",3
"530","okay","eexclamation","eend",3
"531","aang","pperiod","eend",3
"532","well","ccomma","if",3
"533","on","tight","eexclamation",3
"534","on","ccomma","appa",3
"535","pperiod","yip","yip",3
"536","the","sky","pperiod",3
"537","sstart","uhh","ppause",3
"538","sstart","wow","eexclamation",3
"539","eexclamation","hey","ccomma",3
"540","sstart","this","isn't",3
"541","well","ccomma","you",3
"542","ccomma","can","you",3
"543","teach","me","to",3
"544","is","that","qquestion",3
"545","don't","know","ppause",3
"546","to","you","qquestion",3
"547","believe","it","pperiod",3
"548","to","meet","you",3
"549","oh","pperiod","eend",3
"550","sstart","i","am",3
"551","great","eexclamation","eend",3
"552","family","pperiod","eend",3
"553","do","it","eexclamation",3
"554","yeh","ccomma","i",3
"555","hey","katara","pperiod",3
"556","if","i","go",3
"557","i","guess","you",3
"558","pperiod","thanks","for",3
"559","i","never","wanted",3
"560","never","wanted","to",3
"561","going","to","do",3
"562","all","right","ccomma",3
"563","ccomma","we","have",3
"564","sstart","sstart","here",3
"565","fun","eexclamation","eend",3
"566","know","ccomma","but",3
"567","but","i","need",3
"568","myself","pperiod","eend",3
"569","sstart","great","eexclamation",3
"570","let's","go","pperiod",3
"571","only","way","to",3
"572","appa","qquestion","eend",3
"573","sstart","sstart","we're",3
"574","and","i","would",3
"575","and","ppause","eend",3
"576","sstart","okay","eexclamation",3
"577","we","have","a",3
"578","sstart","i","want",3
"579","want","you","to",3
"580","ccomma","how","do",3
"581","how","do","i",3
"582","i'm","ready","for",3
"583","yeah","pperiod","eend",3
"584","that","long","pperiod",3
"585","long","pperiod","eend",3
"586","ccomma","but","it",3
"587","avatar","roku","ccomma",3
"588","sstart","wait","eexclamation",3
"589","eexclamation","come","back",3
"590","sstart","hey","eexclamation",3
"591","too","pperiod","i",3
"592","to","help","me",3
"593","talk","to","him",3
"594","him","qquestion","eend",3
"595","sstart","sstart","looks",3
"596","sstart","looks","like",3
"597","guy","pperiod","eend",3
"598","ccomma","me","ccomma",3
"599","this","place","pperiod",3
"600","momo","pperiod","eend",3
"601","and","i'm","going",3
"602","ugh","eexclamation","eend",3
"603","pperiod","i'm","sorry",3
"604","here","pperiod","i",3
"605","ccomma","you","know",3
"606","you","know","me",3
"607","than","that","pperiod",3
"608","actually","ccomma","i",3
"609","ccomma","i","can't",3
"610","come","with","us",3
"611","place","pperiod","eend",3
"612","pperiod","you","know",3
"613","know","what","i",3
"614","qquestion","you","just",3
"615","dangerous","pperiod","eend",3
"616","not","going","to",3
"617","way","eexclamation","eend",3
"618","fun","pperiod","eend",3
"619","sstart","yes","ccomma",3
"620","it","is","pperiod",3
"621","sstart","appa","ccomma",3
"622","the","earth","kingdom",3
"623","sstart","i","used",3
"624","to","do","qquestion",3
"625","this","is","so",3
"626","eexclamation","i've","got",3
"627","i'm","on","it",3
"628","on","it","eexclamation",3
"629","to","find","appa",3
"630","flopsy","eexclamation","eend",3
"631","sstart","sstart","flopsy",3
"632","sstart","guys","ccomma",3
"633","ccomma","are","you",3
"634","come","on","pperiod",3
"635","sstart","can","i",3
"636","ccomma","i","had",3
"637","thank","you","for",3
"638","sstart","nice","to",3
"639","earthbending","pperiod","eend",3
"640","pperiod","what","do",3
"641","ccomma","sokka","qquestion",3
"642","sstart","i'm","just",3
"643","no","ccomma","it's",3
"644","ccomma","it's","not",3
"645","to","be","the",3
"646","ow","eexclamation","eend",3
"647","pperiod","so","ppause",3
"648","do","you","want",3
"649","hei","ddash","bai",3
"650","ccomma","uh","ccomma",3
"651","i","guess","that's",3
"652","you","must","be",3
"653","ccomma","would","you",3
"654","huh","eexclamation","eend",3
"655","no","ccomma","i'm",3
"656","i'm","right","here",3
"657","eexclamation","eexclamation","eexclamation",3
"658","no","problem","eexclamation",3
"659","problem","eexclamation","eend",3
"660","sstart","what","am",3
"661","how","can","i",3
"662","sstart","sokka","qquestion",3
"663","what","qquestion","i",3
"664","you","don't","know",3
"665","way","for","me",3
"666","talk","to","roku",3
"667","roku","pperiod","eend",3
"668","on","the","solstice",3
"669","sstart","you're","the",3
"670","spirit","pperiod","eend",3
"671","sstart","there's","a",3
"672","boy","eexclamation","eend",3
"673","sstart","if","we",3
"674","it","is","eexclamation",3
"675","sstart","you","do",3
"676","sstart","did","you",3
"677","sstart","sstart","they're",3
"678","to","me","eexclamation",3
"679","mean","qquestion","eend",3
"680","i'm","supposed","to",3
"681","you","had","to",3
"682","a","great","teacher",3
"683","so","ccomma","what's",3
"684","eexclamation","what","are",3
"685","did","you","get",3
"686","sstart","you","just",3
"687","come","in","handy",3
"688","in","handy","pperiod",3
"689","sstart","that's","okay",3
"690","sstart","sstart","where's",3
"691","jet","pperiod","eend",3
"692","i","thought","we",3
"693","from","the","fire",3
"694","the","dam","pperiod",3
"695","thought","you","were",3
"696","sstart","sstart","alright",3
"697","ccomma","i'm","not",3
"698","to","ppause","eend",3
"699","sstart","sstart","enough",3
"700","sstart","enough","eexclamation",3
"701","split","up","pperiod",3
"702","katara","ccomma","you",3
"703","to","get","out",3
"704","i","get","it",3
"705","down","here","eexclamation",3
"706","off","eexclamation","eend",3
"707","ccomma","but","i'm",3
"708","ccomma","they","were",3
"709","kind","of","a",3
"710","sstart","good","to",3
"711","good","to","see",3
"712","sstart","i","didn't",3
"713","go","back","to",3
"714","sleep","pperiod","eend",3
"715","ccomma","buddy","eexclamation",3
"716","well","ccomma","it's",3
"717","ccomma","i","didn't",3
"718","what","to","do",3
"719","ccomma","i","was",3
"720","i","wasn't","there",3
"721","sstart","i'm","going",3
"722","find","them","pperiod",3
"723","going","to","make",3
"724","the","top","of",3
"725","guys","pperiod","eend",3
"726","help","eexclamation","eend",3
"727","from","you","pperiod",3
"728","sstart","who","are",3
"729","like","you","pperiod",3
"730","pperiod","if","we",3
"731","oh","ccomma","i",3
"732","katara","pperiod","i",3
"733","i","don't","see",3
"734","sstart","you","mean",3
"735","who","qquestion","eend",3
"736","that","eexclamation","eend",3
"737","there","qquestion","eend",3
"738","looks","like","a",3
"739","you","pperiod","i",3
"740","you","ccomma","but",3
"741","mind","pperiod","eend",3
"742","sstart","sstart","see",3
"743","ccomma","on","the",3
"744","sstart","oh","no",3
"745","sstart","please","listen",3
"746","pperiod","you","can't",3
"747","sstart","oh","eexclamation",3
"748","sstart","oh","pperiod",3
"749","pperiod","i","guess",3
"750","know","qquestion","eend",3
"751","guess","pperiod","eend",3
"752","we","can","still",3
"753","something","qquestion","eend",3
"754","made","out","of",3
"755","what","happened","qquestion",3
"756","happened","qquestion","eend",3
"757","what","now","qquestion",3
"758","sstart","it's","the",3
"759","go","qquestion","eend",3
"760","this","eexclamation","eend",3
"761","it","to","you",3
"762","to","you","pperiod",3
"763","pperiod","the","fire",3
"764","to","learn","firebending",3
"765","this","could","be",3
"766","could","be","my",3
"767","be","my","only",3
"768","my","only","chance",3
"769","don't","know","ccomma",3
"770","good","pperiod","eend",3
"771","sstart","sstart","master",3
"772","firebending","pperiod","eend",3
"773","sstart","i've","been",3
"774","pperiod","i","want",3
"775","it","eexclamation","i",3
"776","sstart","sstart","jeong",3
"777","sstart","jeong","jeong",3
"778","to","tell","me",3
"779","i'm","never","going",3
"780","never","going","to",3
"781","sstart","whoa","eexclamation",3
"782","zuko","pperiod","eend",3
"783","ccomma","but","you",3
"784","all","the","time",3
"785","this","is","a",3
"786","pperiod","if","you",3
"787","sstart","you","can't",3
"788","pperiod","we","can",3
"789","what","qquestion","i'm",3
"790","girl","pperiod","eend",3
"791","i","ppause","i",3
"792","you","don't","have",3
"793","her","pperiod","eend",3
"794","buddy","eexclamation","eend",3
"795","you're","right","ccomma",3
"796","if","i","don't",3
"797","i","don't","get",3
"798","have","no","idea",3
"799","state","pperiod","eend",3
"800","ccomma","huh","qquestion",3
"801","fire","lord","is",3
"802","that's","it","pperiod",3
"803","are","you","going",3
"804","us","qquestion","eend",3
"805","find","bumi","pperiod",3
"806","friend","eexclamation","eend",3
"807","to","fight","the",3
"808","don't","think","so",3
"809","think","so","pperiod",3
"810","about","this","pperiod",3
"811","what's","the","matter",3
"812","ccomma","momo","eexclamation",3
"813","the","earth","pperiod",3
"814","appa","and","momo",3
"815","i","knew","it",3
"816","but","what","about",3
"817","i","ppause","eend",3
"818","sstart","sstart","give",3
"819","can't","do","that",3
"820","ccomma","i","thought",3
"821","pperiod","and","i",3
"822","pperiod","in","my",3
"823","in","my","vision",3
"824","and","then","i",3
"825","sstart","sstart","i'd",3
"826","sstart","that's","amazing",3
"827","ccomma","toph","pperiod",3
"828","appa","qquestion","eexclamation",3
"829","it","was","just",3
"830","sstart","what","did",3
"831","pperiod","but","now",3
"832","you","think","i",3
"833","sstart","yeah","ppause",3
"834","know","i","know",3
"835","was","in","trouble",3
"836","but","ppause","eend",3
"837","appa","eexclamation","appa",3
"838","i","know","you",3
"839","sstart","why","are",3
"840","sstart","what's","the",3
"841","appa","pperiod","we",3
"842","maybe","we","can",3
"843","tell","me","where",3
"844","to","ba","sing",3
"845","sing","se","ccomma",3
"846","the","earth","king",3
"847","ccomma","please","pperiod",3
"848","the","monks","used",3
"849","monks","used","to",3
"850","find","appa","pperiod",3
"851","wow","ccomma","you",3
"852","katara","qquestion","eend",3
"853","i","don't","care",3
"854","do","whatever","it",3
"855","whatever","it","takes",3
"856","we","don't","have",3
"857","want","us","to",3
"858","the","eastern","air",3
"859","eastern","air","temple",3
"860","sstart","sstart","in",3
"861","sstart","katara","is",3
"862","katara","is","in",3
"863","sing","se","pperiod",3
"864","to","face","the",3
"865","sstart","sstart","heh",3
"866","the","fire","lord's",3
"867","sstart","sstart","fire",3
"868","blah","ccomma","blah",3
"869","is","that","a",3
"870","guys","ccomma","i",3
"871","don't","get","it",3
"872","were","friends","with",3
"873","sstart","your","days",3
"874","your","days","of",3
"875","days","of","tyranny",3
"876","of","tyranny","are",3
"877","tyranny","are","over",3
"878","i","still","have",3
"879","i've","got","to",3
"880","you","need","to",3
"881","pperiod","i'm","doing",3
"882","i'm","doing","it",3
"883","lord","ozai","ccomma",3
"884","have","a","choice",3
"885","zuko","ccomma","i",3
"886","ppause","i'm","not",3
"887","hot","squat","pperiod",3
"888","ask","you","something",2
"889","you","something","pperiod",2
"890","something","pperiod","eend",2
"891","closer","pperiod","eend",2
"892","penguin","sledding","with",2
"893","sledding","with","me",2
"894","with","me","qquestion",2
"895","appa","eexclamation","are",2
"896","up","ccomma","buddy",2
"897","eexclamation","you're","okay",2
"898","you're","okay","eexclamation",2
"899","flying","bison","pperiod",2
"900","do","you","guys",2
"901","i'm","aang","pperiod",2
"902","ccomma","if","you",2
"903","if","you","guys",2
"904","appa","and","i",2
"905","and","i","can",2
"906","give","you","a",2
"907","eexclamation","appa","ccomma",2
"908","ccomma","appa","pperiod",2
"909","sstart","oh","ppause",2
"910","oh","ppause","i",2
"911","no","pperiod","i",2
"912","pperiod","sorry","pperiod",2
"913","tight","pperiod","eend",2
"914","me","like","that",2
"915","like","that","qquestion",2
"916","sstart","it's","not",2
"917","airbending","pperiod","eend",2
"918","sstart","sstart","check",2
"919","again","eexclamation","eend",2
"920","sstart","sstart","oof",2
"921","sstart","oof","eexclamation",2
"922","oof","eexclamation","eend",2
"923","are","you","talking",2
"924","you","talking","about",2
"925","talking","about","qquestion",2
"926","hey","ccomma","come",2
"927","little","guy","pperiod",2
"928","with","animals","pperiod",2
"929","eexclamation","yarp","yarp",2
"930","yarp","yarp","eexclamation",2
"931","eexclamation","yarp","eexclamation",2
"932","just","one","little",2
"933","one","little","problem",2
"934","little","problem","pperiod",2
"935","an","airbender","ccomma",2
"936","who","can","teach",2
"937","what","about","the",2
"938","north","pole","qquestion",2
"939","you","think","about",2
"940","think","about","it",2
"941","sstart","you","still",2
"942","if","you","wanna",2
"943","have","to","let",2
"944","to","let","go",2
"945","fear","pperiod","eend",2
"946","the","world","ccomma",2
"947","war","pperiod","eend",2
"948","a","few","days",2
"949","that's","impossible","pperiod",2
"950","sstart","i","did",2
"951","get","to","meet",2
"952","sstart","what's","that",2
"953","sstart","sstart","hold",2
"954","sstart","hold","on",2
"955","tight","eexclamation","eend",2
"956","ccomma","we","were",2
"957","there","was","this",2
"958","there","pperiod","it's",2
