"","w1","w2","w3","N"
"480","sstart","let","me",2
"481","sstart","i","want",2
"482","want","to","go",2
"483","ccomma","don't","you",2
"484","eexclamation","how","can",2
"485","sstart","sstart","please",2
"486","sstart","please","ccomma",2
"487","the","fire","nation's",2
"488","out","of","turn",2
"489","sstart","i","meant",2
"490","sstart","i","won't",2
"491","sstart","let","him",2
"492","let","him","go",2
"493","him","go","pperiod",2
"494","pperiod","we","need",2
"495","need","to","get",2
"496","sstart","i've","got",2
"497","off","my","ship",2
"498","i","don't","care",2
"499","a","matter","of",2
"500","matter","of","time",2
"501","of","time","before",2
"502","all","pperiod","eend",2
"503","sstart","i'm","going",2
"504","there","are","no",2
"505","sstart","but","how",2
"506","but","how","did",2
"507","you","find","him",2
"508","need","to","talk",2
"509","to","talk","to",2
"510","me","back","pperiod",2
"511","what","i","had",2
"512","need","you","to",2
"513","you","to","find",2
"514","someone","pperiod","eend",2
"515","we're","looking","for",2
"516","hey","ccomma","watch",2
"517","ccomma","watch","it",2
"518","watch","it","eexclamation",2
"519","where","is","he",2
"520","is","he","qquestion",2
"521","i","am","qquestion",2
"522","am","qquestion","eend",2
"523","what","are","we",2
"524","are","we","supposed",2
"525","we","supposed","to",2
"526","supposed","to","do",2
"527","uncle","qquestion","i",2
"528","i'm","not","pperiod",2
"529","not","pperiod","they're",2
"530","sstart","you","didn't",2
"531","do","this","pperiod",2
"532","thank","you","ccomma",2
"533","right","now","ccomma",2
"534","you","don't","have",2
"535","have","the","avatar",2
"536","will","pperiod","eend",2
"537","sstart","yes","eexclamation",2
"538","to","hurt","you",2
"539","hurt","you","pperiod",2
"540","sstart","i","see",2
"541","rise","with","the",2
"542","you","pperiod","but",2
"543","am","pperiod","eend",2
"544","awhile","pperiod","eend",2
"545","sstart","sstart","here",2
"546","tired","pperiod","eend",2
"547","i","was","banished",2
"548","was","banished","pperiod",2
"549","the","avatar","ccomma",2
"550","avatar","ccomma","i",2
"551","me","that","eexclamation",2
"552","that","eexclamation","eend",2
"553","to","him","pperiod",2
"554","about","me","pperiod",2
"555","don't","know","how",2
"556","me","pperiod","you",2
"557","pperiod","you","don't",2
"558","anything","pperiod","eend",2
"559","pperiod","i","can't",2
"560","to","be","a",2
"561","sstart","uncle","ppause",2
"562","sstart","we're","not",2
"563","pperiod","and","this",2
"564","is","my","uncle",2
"565","my","uncle","ccomma",2
"566","many","years","pperiod",2
"567","sstart","sstart","they're",2
"568","sstart","this","is",2
"569","pperiod","these","people",2
"570","sstart","do","you",2
"571","said","pperiod","eend",2
"572","need","to","find",2
"573","find","my","own",2
"574","sstart","no","kidding",2
"575","no","kidding","pperiod",2
"576","kidding","pperiod","eend",2
"577","uh","ppause","eend",2
"578","i","should","be",2
"579","sstart","uh","ddash",2
"580","away","pperiod","eend",2
"581","do","that","qquestion",2
"582","with","you","pperiod",2
"583","how","would","you",2
"584","you","like","it",2
"585","pperiod","they're","just",2
"586","move","on","pperiod",2
"587","sstart","sstart","does",2
"588","does","that","mean",2
"589","sstart","how","do",2
"590","how","do","you",2
"591","do","you","know",2
"592","sstart","sstart","great",2
"593","ccomma","azula","pperiod",2
"594","sstart","stop","it",2
"595","sstart","azula","always",2
"596","lies","ppause","eend",2
"597","sstart","it","doesn't",2
"598","it","doesn't","matter",2
"599","but","i","know",2
"600","pperiod","you're","not",2
"601","pperiod","you're","sick",2
"602","war","pperiod","eend",2
"603","sstart","sstart","mom",2
"604","sstart","mom","qquestion",2
"605","mom","qquestion","eend",2
"606","sstart","my","name",2
"607","my","name","is",2
"608","name","is","zuko",2
"609","prince","of","the",2
"610","yes","ccomma","i",2
"611","sstart","back","off",2
"612","back","off","ccomma",2
"613","sstart","you","were",2
"614","it","was","a",2
"615","i","see","pperiod",2
"616","see","pperiod","eend",2
"617","sstart","i'm","ready",2
"618","ready","to","try",2
"619","to","try","it",2
"620","do","it","qquestion",2
"621","in","my","face",2
"622","sstart","but","i",2
"623","i","don't","feel",2
"624","are","you","telling",2
"625","you","telling","me",2
"626","stuff","pperiod","eend",2
"627","to","redirect","lightning",2
"628","ccomma","if","you",2
"629","if","you","won't",2
"630","ccomma","i","can",2
"631","sstart","you","know",2
"632","is","going","to",2
"633","going","to","help",2
"634","sstart","you","brought",2
"635","sstart","i","thought",2
"636","ccomma","that's","what",2
"637","sstart","sstart","we've",2
"638","sstart","we've","been",2
"639","you're","the","one",2
"640","sstart","it's","ok",2
"641","it's","ok","pperiod",2
"642","sstart","sstart","she",2
"643","not","my","girlfriend",2
"644","ccomma","well","ccomma",2
"645","sstart","yes","pperiod",2
"646","sstart","sstart","ok",2
"647","sstart","i","brought",2
"648","i","brought","you",2
"649","you","something","pperiod",2
"650","tea","pperiod","eend",2
"651","pperiod","he","thinks",2
"652","sstart","i'll","try",2
"653","destiny","pperiod","eend",2
"654","of","here","pperiod",2
"655","know","my","own",2
"656","uncle","pperiod","i",2
"657","deserve","it","pperiod",2
"658","it","pperiod","the",2
"659","azula","eexclamation","eend",2
"660","it's","time","i",2
"661","know","what","you're",2
"662","i'm","sorry","pperiod",2
"663","pperiod","that's","something",2
"664","me","pperiod","the",2
"665","pperiod","what","are",2
"666","i","don't","have",2
"667","pperiod","what","if",2
"668","my","mind","pperiod",2
"669","since","i","was",2
"670","pperiod","i","wonder",2
"671","sstart","so","ccomma",2
"672","pperiod","there's","no",2
"673","survived","pperiod","eend",2
"674","i","was","the",2
"675","figure","out","what",2
"676","to","know","about",2
"677","sstart","uncle","pperiod",2
"678","you","could","have",2
"679","you","have","no",2
"680","and","if","you",2
"681","ccomma","too","pperiod",2
"682","pperiod","what","is",2
"683","it","pperiod","i",2
"684","is","ccomma","i",2
"685","pperiod","please","ccomma",2
"686","ccomma","i'm","so",2
"687","forget","it","eexclamation",2
"688","about","you","pperiod",2
"689","to","find","him",2
"690","was","a","long",2
"691","thought","it","was",2
"692","sstart","sstart","forget",2
"693","sstart","forget","it",2
"694","sstart","so","what",2
"695","sure","pperiod","eend",2
"696","sstart","what's","wrong",2
"697","wrong","with","me",2
"698","with","me","qquestion",2
"699","at","least","i",2
"700","i","was","just",2
"701","there's","plenty","of",2
"702","in","there","pperiod",2
"703","no","ccomma","you",2
"704","pperiod","i","can",2
"705","yeah","ccomma","you",2
"706","you","would","be",2
"707","pperiod","are","you",2
"708","ccomma","mai","pperiod",2
"709","sstart","for","so",2
"710","for","so","long",2
"711","so","long","ccomma",2
"712","thinks","i'm","a",2
"713","don't","know","pperiod",2
"714","sstart","i","guess",2
"715","i","guess","you",2
"716","sstart","you","need",2
"717","the","story","of",2
"718","own","destiny","pperiod",2
"719","the","fire","sages",2
"720","the","secret","history",2
"721","my","great","ddash",2
"722","the","end","pperiod",2
"723","ccomma","it's","not",2
"724","ccomma","what","would",2
"725","you","know","ccomma",2
"726","sstart","sstart","war",2
"727","i","guess","i",2
"728","the","meeting","ccomma",2
"729","my","father","had",2
"730","pperiod","i","was",2
"731","ccomma","i","was",2
"732","i","know","i",2
"733","today","ccomma","i'm",2
"734","ccomma","i'm","going",2
"735","ready","to","face",2
"736","sstart","i'm","here",2
"737","the","truth","pperiod",2
"738","ccomma","it","was",2
"739","not","me","pperiod",2
"740","pperiod","i","thought",2
"741","you","ccomma","my",2
"742","my","father","ccomma",2
"743","father","ccomma","who",2
"744","pperiod","how","can",2
"745","the","people","of",2
"746","people","of","the",2
"747","an","era","of",2
