"","w1","w2","w3","N"
"858","you're","the","avatar",2
"859","will","pperiod","eend",2
"860","at","first","ccomma",2
"861","but","now","that",2
"862","you","can't","keep",2
"863","leave","pperiod","eend",2
"864","some","kind","of",2
"865","that","is","a",2
"866","sstart","and","what",2
"867","what","did","you",2
"868","sstart","uh","ccomma",2
"869","sstart","sstart","seriously",2
"870","sstart","seriously","ccomma",2
"871","seriously","ccomma","what",2
"872","sstart","sstart","hello",2
"873","eexclamation","why","did",2
"874","why","did","you",2
"875","before","qquestion","eend",2
"876","can","you","say",2
"877","who","we","are",2
"878","we","are","pperiod",2
"879","sstart","i","understand",2
"880","i'm","sorry","about",2
"881","what","i","said",2
"882","earlier","pperiod","i",2
"883","ccomma","that's","why",2
"884","earthbending","qquestion","eend",2
"885","mother","in","a",2
"886","a","fire","nation",2
"887","no","pperiod","eend",2
"888","ccomma","there's","no",2
"889","see","you","ccomma",2
"890","ccomma","it's","the",2
"891","did","it","eexclamation",2
"892","it","was","so",2
"893","i","guess","so",2
"894","guess","so","pperiod",2
"895","away","eexclamation","eend",2
"896","all","my","fault",2
"897","sstart","we","don't",2
"898","don't","need","to",2
"899","going","to","take",2
"900","sstart","sstart","because",2
"901","how","dare","you",2
"902","giant","ddash","eared",2
"903","ddash","eared","cretin",2
"904","eared","cretin","eexclamation",2
"905","eexclamation","i","bet",2
"906","style","eexclamation","eend",2
"907","only","way","to",2
"908","it's","an","honor",2
"909","qquestion","what","is",2
"910","up","pperiod","eend",2
"911","about","that","pperiod",2
"912","fire","nation","has",2
"913","pperiod","it","is",2
"914","who","you","are",2
"915","i","can't","pperiod",2
"916","to","help","them",2
"917","ccomma","but","it",2
"918","was","just","a",2
"919","you","sure","this",2
"920","sure","this","is",2
"921","is","in","your",2
"922","i","guess","you're",2
"923","mother's","necklace","eexclamation",2
"924","sstart","sstart","those",2
"925","qquestion","like","you",2
"926","you","could","just",2
"927","a","big","ccomma",2
"928","ccomma","what","is",2
"929","aang","ccomma","are",2
"930","sstart","that's","why",2
"931","find","you","a",2
"932","you","a","teacher",2
"933","ready","to","be",2
"934","aang","pperiod","that",2
"935","help","these","people",2
"936","i","think","you",2
"937","sstart","aang","will",2
"938","figure","out","the",2
"939","wait","eexclamation","eend",2
"940","everything's","gonna","be",2
"941","pperiod","i'm","sure",2
"942","i'm","sure","they're",2
"943","to","go","back",2
"944","to","the","village",2
"945","in","the","spirit",2
"946","are","you","feeling",2
"947","you","feeling","qquestion",2
"948","feeling","qquestion","eend",2
"949","you","ccomma","aang",2
"950","what","to","do",2
"951","pperiod","the","world",2
"952","can't","afford","to",2
"953","you","to","the",2
"954","i","pperiod","eend",2
"955","we're","not","letting",2
"956","not","letting","you",2
"957","fire","nation","ccomma",2
"958","aang","ccomma","we",2
"959","there's","no","time",2
"960","we're","here","pperiod",2
"961","sstart","the","fire",2
"962","we","were","at",2
"963","were","at","the",2
"964","at","the","air",2
"965","the","air","temple",2
"966","air","temple","pperiod",2
"967","pperiod","are","you",2
"968","sstart","sstart","go",2
"969","sstart","sstart","how's",2
"970","to","make","it",2
"971","of","this","qquestion",2
"972","calm","down","pperiod",2
"973","pperiod","it's","going",2
"974","it's","going","to",2
"975","ccomma","i","can",2
"976","sstart","sstart","remember",2
"977","move","ccomma","but",2
"978","so","don't","be",2
